a,b,sum
163,28,191
6,189,195
70,62,132
57,35,92
188,26,214
173,189,362
139,22,161
151,108,259
8,7,15
23,55,78
59,129,188
154,6,160
143,50,193
183,166,349
179,139,318
107,56,163
114,150,264
71,1,72
194,40,234
178,108,286
87,71,158
39,55,94
195,86,281
26,23,49
97,24,121
91,88,179
154,67,221
11,186,197
117,137,254
31,96,127
20,141,161
75,160,235
158,92,250
147,49,196
180,17,197
11,169,180
58,197,255
74,20,94
59,25,84
97,71,168
116,162,278
93,41,134
94,90,184
53,171,224
68,179,247
174,165,339
18,155,173
162,43,205
136,186,322
62,41,103
118,97,215
69,163,232
176,142,318
56,175,231
83,196,279
198,14,212
58,8,66
80,102,182
68,16,84
54,145,199
183,80,263
54,167,221
127,101,228
164,117,281
36,67,103
35,63,98
190,143,333
137,67,204
191,149,340
109,149,258
102,92,194
56,35,91
130,126,256
23,193,216
12,28,40
39,160,199
40,174,214
108,152,260
16,98,114
97,152,249
119,135,254
64,141,205
2,174,176
184,29,213
174,137,311
192,68,260
196,164,360
87,28,115
75,111,186
40,116,156
0,184,184
184,67,251
128,195,323
45,129,174
27,160,187
76,163,239
129,155,284
50,39,89
95,195,290
41,138,179
199,135,334
0,153,153
82,125,207
4,28,32
92,78,170
61,14,75
61,145,206
20,21,41
187,124,311
17,194,211
136,196,332
32,32,64
168,121,289
140,42,182
67,135,202
155,108,263
54,138,192
193,186,379
176,51,227
182,79,261
102,171,273
166,95,261
112,132,244
115,30,145
63,57,120
16,86,102
5,150,155
141,58,199
150,56,206
1,18,19
181,161,342
15,58,73
17,8,25
84,18,102
131,60,191
71,171,242
124,54,178
138,33,171
185,146,331
147,121,268
62,200,262
121,104,225
48,24,72
24,168,192
110,90,200
108,105,213
119,186,305
13,172,185
167,165,332
25,15,40
103,186,289
86,27,113
63,49,112
48,137,185
114,35,149
108,46,154
71,118,189
63,19,82
113,140,253
25,12,37
166,138,304
3,23,26
192,60,252
42,104,146
124,123,247
54,102,156
15,42,57
97,0,97
99,67,166
200,200,400
116,73,189
108,178,286
187,200,387
142,169,311
183,124,307
39,48,87
75,55,130
14,148,162
188,138,326
15,191,206
80,14,94
12,149,161
122,128,250
135,40,175
14,130,144
20,47,67
17,152,169
17,172,189
60,103,163
30,145,175
63,148,211
152,10,162
158,20,178
107,168,275
149,144,293
133,80,213
66,52,118
171,183,354
80,61,141
67,101,168
33,171,204
165,76,241
117,80,197
192,18,210
2,117,119
159,144,303
25,18,43
137,54,191
129,67,196
33,89,122
17,62,79
94,72,166
40,112,152
139,180,319
77,156,233
167,135,302
2,170,172
141,76,217
169,26,195
34,67,101
29,27,56
190,141,331
39,69,108
72,154,226
53,183,236
87,52,139
175,162,337
67,129,196
125,64,189
13,23,36
162,108,270
70,11,81
0,85,85
197,33,230
163,67,230
41,189,230
113,141,254
180,109,289
143,2,145
28,19,47
176,38,214
139,9,148
94,149,243
141,37,178
110,32,142
10,78,88
93,10,103
91,53,144
174,63,237
170,26,196
90,199,289
143,104,247
158,191,349
39,60,99
41,45,86
105,6,111
45,188,233
85,200,285
105,171,276
188,63,251
68,40,108
179,27,206
97,9,106
120,56,176
51,117,168
89,78,167
58,57,115
6,168,174
49,102,151
84,71,155
17,197,214
71,89,160
164,130,294
102,173,275
137,84,221
7,29,36
66,45,111
148,67,215
9,27,36
152,111,263
88,186,274
80,111,191
155,130,285
29,98,127
147,48,195
65,11,76
181,111,292
0,133,133
137,175,312
184,189,373
188,171,359
50,93,143
110,17,127
170,84,254
159,80,239
169,31,200
184,76,260
129,79,208
170,104,274
83,103,186
178,75,253
141,32,173
49,107,156
170,97,267
173,191,364
44,157,201
145,77,222
103,140,243
0,77,77
73,53,126
110,148,258
155,167,322
82,119,201
113,113,226
172,54,226
130,121,251
188,43,231
168,21,189
72,131,203
169,162,331
158,85,243
23,192,215
60,172,232
79,57,136
50,37,87
6,11,17
62,121,183
156,196,352
18,116,134
106,161,267
147,49,196
183,178,361
98,126,224
102,62,164
37,167,204
176,1,177
192,197,389
27,199,226
108,56,164
45,178,223
132,118,250
12,142,154
63,31,94
116,34,150
118,170,288
135,143,278
152,81,233
193,113,306
156,184,340
129,109,238
140,114,254
40,190,230
121,115,236
66,192,258
63,163,226
70,196,266
199,133,332
124,160,284
61,70,131
112,19,131
182,73,255
60,69,129
85,81,166
138,20,158
35,38,73
59,98,157
177,39,216
180,54,234
16,106,122
104,84,188
138,119,257
106,15,121
52,107,159
99,197,296
149,178,327
5,195,200
147,97,244
122,1,123
90,76,166
192,99,291
107,137,244
191,188,379
139,154,293
56,124,180
56,69,125
111,124,235
7,99,106
86,171,257
173,103,276
185,42,227
119,32,151
159,136,295
6,100,106
151,144,295
169,6,175
21,164,185
109,34,143
118,46,164
12,66,78
97,83,180
54,116,170
83,86,169
194,97,291
71,192,263
107,64,171
20,120,140
4,191,195
138,13,151
89,57,146
166,17,183
199,166,365
10,193,203
7,63,70
51,5,56
159,39,198
61,32,93
121,171,292
29,144,173
55,119,174
179,65,244
196,94,290
42,155,197
155,191,346
183,29,212
199,41,240
79,27,106
148,6,154
79,147,226
173,96,269
101,183,284
50,19,69
151,176,327
160,62,222
26,178,204
197,77,274
175,153,328
30,144,174
200,10,210
88,136,224
109,169,278
94,17,111
129,165,294
87,3,90
107,125,232
