a,b,operation,result
3,31,1,-28
-44,-13,1,-31
17,31,0,48
15,-26,2,-390
-27,47,0,20
26,46,0,72
19,-9,1,28
37,-12,1,49
37,39,2,1443
-4,-38,2,152
24,-5,0,19
-49,-33,2,1617
-14,-3,1,-11
2,-7,0,-5
-37,-23,0,-60
14,-22,0,-8
21,28,2,588
17,18,2,306
20,39,0,59
3,8,0,11
-36,-34,0,-70
11,-6,1,17
38,-4,0,34
6,26,2,156
47,-7,0,40
40,-12,0,28
45,-35,0,10
-34,38,0,4
38,-21,1,59
-34,-24,0,-58
-40,4,2,-160
47,50,0,97
-41,-48,1,7
46,5,0,51
-25,-37,0,-62
34,15,2,510
-43,10,0,-33
-18,-45,0,-63
-12,35,0,23
46,-38,0,8
27,-24,2,-648
-25,-27,2,675
-6,-47,0,-53
-32,45,1,-77
24,-6,1,30
-30,14,2,-420
28,-20,2,-560
22,-42,0,-20
24,47,0,71
17,-23,2,-391
-26,-14,0,-40
46,18,0,64
42,-38,0,4
14,40,1,-26
-4,39,2,-156
-27,6,2,-162
-37,-27,1,-10
-2,4,0,2
15,-21,1,36
-36,47,1,-83
-35,9,0,-26
16,-33,1,49
47,-4,2,-188
-14,21,2,-294
-45,-40,1,-5
13,-36,1,49
-14,8,2,-112
44,-11,2,-484
6,-22,2,-132
2,-13,1,15
-26,-42,1,16
36,-3,0,33
-49,36,1,-85
36,-37,1,73
6,16,2,96
36,-40,0,-4
-32,0,1,-32
38,25,0,63
44,-29,0,15
-4,-25,1,21
-25,26,1,-51
-35,-21,1,-14
42,13,1,29
47,41,2,1927
25,-16,2,-400
1,-5,1,6
35,27,1,8
12,15,1,-3
-32,48,1,-80
-37,-35,1,-2
12,13,0,25
30,-33,0,-3
-38,44,0,6
-42,13,2,-546
-47,-28,1,-19
27,36,1,-9
-31,-12,2,372
29,-38,0,-9
34,46,2,1564
48,13,1,35
-25,-13,2,325
13,12,2,156
-17,19,1,-36
19,19,0,38
47,-46,1,93
-35,-1,1,-34
-10,-2,1,-8
8,-46,0,-38
-28,21,2,-588
49,-12,2,-588
-29,12,1,-41
-33,-11,2,363
-1,12,0,11
22,36,1,-14
34,20,2,680
19,23,1,-4
10,21,0,31
14,-43,1,57
-17,13,2,-221
-2,28,2,-56
-5,48,1,-53
-9,-43,0,-52
25,-45,0,-20
-4,-6,2,24
24,-47,2,-1128
-7,-2,0,-9
4,-6,1,10
2,-6,0,-4
34,-19,0,15
-20,32,1,-52
25,-40,2,-1000
-42,-11,0,-53
-7,-29,0,-36
18,-9,0,9
8,34,1,-26
22,15,1,7
-16,-48,2,768
10,25,0,35
-10,-2,2,20
-1,-9,2,9
-38,12,0,-26
38,36,0,74
-7,13,2,-91
47,35,1,12
-29,28,1,-57
-4,5,0,1
13,31,0,44
18,-23,1,41
-17,-44,1,27
23,1,0,24
29,45,0,74
41,24,0,65
25,-7,1,32
-42,22,2,-924
10,4,0,14
-6,-41,2,246
-12,14,1,-26
5,34,2,170
-10,-25,1,15
1,-18,2,-18
15,8,2,120
47,20,0,67
-48,30,2,-1440
16,-27,2,-432
13,-23,2,-299
45,9,1,36
31,18,2,558
48,5,2,240
43,30,0,73
16,-25,1,41
9,-32,0,-23
-31,45,2,-1395
47,-12,1,59
2,-10,0,-8
31,-24,1,55
-16,-14,2,224
-30,-18,2,540
26,-20,1,46
-20,-36,0,-56
-26,-47,0,-73
-11,9,1,-20
21,5,1,16
32,-46,0,-14
-30,-16,0,-46
-47,-17,1,-30
34,20,0,54
32,-45,2,-1440
12,50,0,62
-43,-40,1,-3
27,-12,0,15
2,-4,2,-8
34,-39,1,73
42,-33,0,9
-36,23,2,-828
14,-35,2,-490
35,24,2,840
-18,13,0,-5
-20,26,0,6
48,-10,1,58
24,44,1,-20
45,45,0,90
4,-23,0,-19
-37,-28,0,-65
-15,6,1,-21
-18,25,0,7
12,18,1,-6
39,-36,1,75
19,4,1,15
37,-19,1,56
50,-32,1,82
10,41,1,-31
-11,-48,2,528
27,-46,2,-1242
34,-44,2,-1496
50,35,0,85
-18,20,1,-38
-11,31,2,-341
-4,37,0,33
18,-20,1,38
-1,-49,1,48
-18,-12,0,-30
46,-20,1,66
-24,-30,1,6
30,-10,2,-300
2,-46,1,48
-40,49,1,-89
10,44,1,-34
-8,41,1,-49
-38,-30,2,1140
-17,14,0,-3
-5,3,2,-15
43,20,2,860
-9,8,2,-72
-47,47,0,0
32,32,0,64
30,6,2,180
-33,-50,1,17
-25,30,1,-55
-10,23,0,13
-36,-30,0,-66
16,41,2,656
47,-34,2,-1598
37,2,1,35
7,11,2,77
-33,-17,0,-50
37,25,1,12
-14,-25,0,-39
3,-3,0,0
0,-2,2,0
-22,-48,0,-70
21,32,2,672
30,-21,0,9
9,-25,1,34
39,-29,0,10
1,29,1,-28
26,-17,0,9
-39,-3,0,-42
22,-35,0,-13
41,17,1,24
48,8,2,384
13,-35,0,-22
41,-24,0,17
50,-16,1,66
45,13,1,32
-34,5,0,-29
26,-23,1,49
43,36,0,79
3,-27,1,30
-32,-47,1,15
-17,-20,2,340
