a,b,c,y
2.79,-9.5,-4.5,-18.28
3.53,7.84,-8.26,39.65
-1.56,-9.4,-5.63,-25.81
-6.02,3.0,0.9,-3.94
-5.59,1.79,6.19,-11.1
3.96,-3.19,-6.89,5.28
9.14,-3.27,-8.15,17.42
2.07,6.14,4.59,18.52
0.72,9.46,-2.43,31.36
2.37,7.23,1.55,24.58
4.09,-9.08,-5.44,-13.67
-5.34,-7.98,-4.44,-29.98
2.71,-2.7,-2.6,0.02
8.73,2.96,2.18,24.54
-6.58,4.58,-6.73,6.21
2.8,1.14,3.69,6.37
6.86,5.52,-5.42,36.13
-4.65,-5.78,8.86,-35.41
7.53,-3.71,3.11,-0.06
-0.82,-4.7,-5.07,-9.99
1.23,-4.75,1.69,-13.08
-5.61,9.95,0.19,18.14
-8.18,-9.06,-7.81,-36.35
-1.56,-8.73,-2.37,-27.58
9.92,0.58,9.42,12.21
4.41,3.63,0.74,18.91
-4.66,2.82,-7.77,6.41
9.08,7.52,-4.73,45.67
0.01,-6.43,8.25,-27.23
2.78,2.18,-6.94,18.73
5.25,0.79,5.57,7.28
-3.52,-9.61,8.58,-44.45
7.57,6.63,-3.85,39.84
8.94,-8.29,-0.28,-6.34
-8.62,5.21,5.32,-6.54
1.0,-4.7,7.45,-19.14
-1.54,-5.76,0.79,-21.19
-3.77,9.9,3.0,18.83
-1.24,0.35,-7.58,6.22
1.77,-5.4,-5.6,-6.61
-8.58,2.62,-5.42,-3.06
-8.58,-5.24,3.38,-36.81
-5.72,-7.35,8.71,-42.71
5.69,6.15,-6.19,35.78
-8.06,-1.38,-1.53,-19.52
3.47,9.68,-8.03,44.18
-1.95,-3.21,7.23,-20.76
-1.03,-1.56,-4.43,-1.99
-5.0,8.47,-1.14,16.96
-8.99,9.99,6.72,4.79
9.38,8.53,6.97,37.67
-5.73,-1.98,-8.83,-8.07
-2.42,9.71,-4.7,29.11
-1.54,9.15,9.91,13.92
1.12,4.37,-6.9,21.87
1.58,0.84,4.96,1.98
-8.86,1.68,0.06,-12.56
9.22,-8.4,-6.28,-0.71
1.9,3.5,-5.3,20.37
-5.08,1.89,2.39,-6.16
-1.62,1.67,0.46,1.62
4.32,-5.23,-2.08,-5.1
3.43,-4.0,-3.68,-1.46
-0.83,9.97,9.92,18.14
-8.53,-5.74,-4.7,-28.64
7.59,-2.61,-6.85,13.78
6.67,4.07,2.23,24.05
-9.84,6.34,-4.01,3.29
3.27,8.78,-7.31,40.37
1.06,-4.55,2.1,-13.47
4.35,-5.93,2.68,-11.82
8.11,6.92,-8.15,45.71
-1.53,-4.47,-9.93,-6.45
-4.76,4.82,1.03,3.2
-1.45,-9.81,-8.5,-23.03
0.91,6.69,1.65,19.51
-7.04,-7.45,-3.83,-31.88
7.21,7.98,-5.8,43.63
-5.01,-7.94,5.6,-39.06
2.41,-6.91,8.6,-24.85
7.29,9.52,6.22,37.0
4.73,-3.36,8.62,-9.32
6.04,7.28,6.21,27.62
-7.84,7.44,7.17,0.34
-5.55,6.33,-0.79,8.38
-5.45,-9.53,-6.14,-32.51
-3.43,7.29,9.34,5.54
-2.01,9.62,0.72,24.82
8.78,-7.69,9.41,-14.36
-4.69,-7.83,-1.31,-30.41
4.57,-3.73,2.12,-4.66
1.53,-4.91,4.18,-15.89
-9.97,8.51,0.77,4.66
3.41,-2.72,-8.6,6.45
3.28,-3.4,-3.72,0.54
-3.99,-3.81,-1.83,-18.23
-1.95,-4.09,-7.45,-9.76
3.55,8.06,2.31,29.54
-3.98,0.96,-9.99,4.79
1.6,3.09,-0.7,13.69
-1.16,-5.73,-0.54,-18.24
-6.61,-8.3,0.31,-38.95
2.66,-3.3,6.37,-10.94
-5.51,-6.02,-9.51,-20.32
-5.1,-0.5,6.99,-18.23
2.6,-6.11,3.93,-16.83
-0.11,-5.12,3.12,-17.87
5.4,-7.87,-1.5,-11.28
-6.48,9.16,0.36,14.52
6.97,-0.87,6.03,5.42
3.35,9.76,1.91,35.07
2.25,4.39,0.1,17.24
6.61,0.96,7.94,8.14
-4.82,-5.06,2.75,-28.14
5.32,0.43,2.53,9.37
-4.29,-4.57,-3.61,-18.48
0.8,-7.23,-5.37,-14.99
-8.72,-1.85,0.85,-24.57
-1.68,-5.86,-1.6,-18.79
3.91,7.13,5.31,23.53
-2.39,-9.88,-2.96,-31.44
9.07,-1.62,4.95,7.35
0.92,2.07,-5.59,13.74
-9.42,-3.28,3.58,-31.73
-1.91,-6.7,-0.65,-22.78
-9.46,-2.12,1.29,-26.07
-9.46,2.85,-7.29,-3.24
-2.42,-5.77,-3.46,-18.65
5.22,-2.42,5.04,-1.67
-8.36,-9.61,0.79,-46.67
10.0,-3.0,3.0,8.14
5.08,8.99,-6.01,42.43
-9.59,-6.95,-7.48,-32.86
-5.64,3.99,5.34,-5.21
-6.64,2.14,4.96,-11.12
9.29,-7.84,-9.49,5.16
-3.76,3.55,9.16,-6.66
-8.48,3.81,2.54,-7.59
-7.96,5.45,7.01,-6.79
9.68,5.65,-3.06,39.22
