a,b,product
34,20,680
12,26,312
25,16,400
39,32,1248
29,42,1218
48,35,1680
11,1,11
40,45,1800
33,11,363
36,31,1116
13,42,546
47,29,1363
17,40,680
34,39,1326
49,27,1323
36,46,1656
40,3,120
33,12,396
23,29,667
9,15,135
9,47,423
43,48,2064
19,27,513
26,20,520
4,40,160
13,26,338
17,18,306
41,10,410
16,43,688
38,15,570
25,15,375
7,9,63
12,1,12
15,19,285
29,31,899
35,27,945
27,41,1107
2,12,24
10,17,170
8,1,8
16,50,800
17,42,714
35,11,385
41,2,82
46,31,1426
50,1,50
3,5,15
20,38,760
19,4,76
26,23,598
42,42,1764
5,25,125
46,8,368
15,7,105
36,47,1692
32,7,224
33,42,1386
37,49,1813
33,16,528
31,5,155
15,38,570
7,49,343
20,21,420
37,47,1739
24,47,1128
47,15,705
27,13,351
9,6,54
11,13,143
17,28,476
26,16,416
37,3,111
31,34,1054
23,44,1012
7,20,140
34,27,918
30,43,1290
15,17,255
50,9,450
23,30,690
45,23,1035
19,1,19
41,38,1558
2,47,94
42,3,126
44,50,2200
42,15,630
16,35,560
24,19,456
40,44,1760
23,43,989
7,34,238
15,28,420
24,0,0
25,16,400
19,5,95
48,15,720
19,13,247
10,28,280
40,20,800
49,41,2009
26,50,1300
2,17,34
5,49,245
31,30,930
47,26,1222
21,45,945
27,6,162
10,44,440
16,32,512
4,22,88
26,38,988
46,35,1610
47,20,940
29,44,1276
1,48,48
3,41,123
41,11,451
40,28,1120
50,41,2050
8,0,0
25,12,300
40,19,760
20,36,720
5,7,35
10,15,150
33,45,1485
49,41,2009
48,8,384
38,43,1634
26,50,1300
20,28,560
30,47,1410
8,16,128
11,43,473
37,20,740
18,12,216
5,26,130
23,11,253
25,24,600
36,14,504
1,1,1
35,41,1435
39,40,1560
14,5,70
29,12,348
16,44,704
10,3,30
25,39,975
27,38,1026
16,9,144
5,23,115
10,36,360
7,0,0
45,33,1485
27,49,1323
29,43,1247
31,7,217
14,45,630
13,12,156
50,17,850
18,47,846
31,24,744
8,27,216
13,38,494
13,18,234
46,43,1978
12,26,312
11,26,286
50,9,450
1,18,18
16,15,240
39,28,1092
15,23,345
37,43,1591
41,29,1189
5,0,0
30,8,240
20,44,880
25,43,1075
13,45,585
24,45,1080
27,47,1269
38,16,608
4,6,24
35,3,105
3,21,63
15,30,450
22,38,836
42,38,1596
45,47,2115
2,0,0
16,32,512
39,24,936
19,25,475
42,23,966
8,35,280
2,37,74
11,16,176
10,32,320
31,21,651
29,8,232
5,20,100
45,33,1485
27,9,243
16,7,112
20,2,40
8,31,248
17,47,799
23,27,621
18,16,288
39,48,1872
16,33,528
20,27,540
10,20,200
47,31,1457
48,9,432
35,42,1470
40,28,1120
3,12,36
9,3,27
14,11,154
2,30,60
16,10,160
45,29,1305
27,7,189
31,2,62
28,22,616
45,35,1575
31,29,899
31,7,217
46,9,414
7,22,154
5,13,65
18,11,198
10,47,470
32,17,544
36,42,1512
37,13,481
37,0,0
33,49,1617
36,11,396
26,4,104
15,49,735
31,43,1333
6,21,126
1,18,18
43,43,1849
7,25,175
23,37,851
6,20,120
9,1,9
5,29,145
