x,y
-7.65,43.7
2.07,9.48
6.55,58.38
2.98,14.8
0.44,1.87
0.6,2.78
-5.41,20.02
-2.38,0.23
1.78,7.64
3.93,22.61
-8.05,50.46
-5.35,19.77
7.18,66.49
-1.83,2.69
-6.22,26.8
1.56,4.85
-7.64,45.55
3.76,22.72
-3.68,6.81
3.03,16.68
-4.93,16.09
-2.69,2.03
-4.49,11.47
-1.74,-0.97
5.68,43.67
1.1,4.52
-4.92,15.05
4.11,26.97
4.72,33.62
4.96,34.36
-1.07,-0.18
-5.71,21.62
-1.99,0.31
3.94,25.48
4.14,27.79
-9.89,81.22
-8.18,52.95
-1.29,1.89
-8.72,59.67
-9.24,68.3
-2.31,3.09
0.42,1.88
4.23,25.38
6.4,53.37
2.81,13.89
3.14,17.39
6.08,50.07
1.99,9.19
0.32,1.81
-9.28,69.16
-5.21,18.31
9.94,119.68
5.59,42.82
1.72,8.2
0.35,1.79
-8.2,51.46
-4.31,12.02
-3.04,2.21
9.27,105.25
-6.11,27.46
8.59,91.27
-1.86,0.39
-7.87,47.95
8.94,99.17
6.06,51.81
6.26,52.16
1.5,5.36
1.26,2.66
5.4,41.08
-0.82,-2.51
-0.79,-0.16
-7.67,44.37
-8.65,56.38
3.54,18.22
-5.4,18.36
0.33,4.05
-9.81,77.99
-8.14,50.32
3.47,20.15
8.63,92.38
-0.47,-1.0
-4.62,14.79
8.94,97.91
-0.02,-1.04
-6.01,24.91
-5.86,21.6
-5.94,24.41
-6.88,35.96
-7.87,48.51
3.27,17.51
2.28,10.87
-9.15,65.18
-0.35,-0.42
9.71,113.9
7.94,80.71
9.69,113.42
8.32,86.73
1.53,7.1
-8.92,63.07
0.82,2.23
0.05,-0.09
-6.5,31.19
9.53,110.53
3.78,21.8
-9.76,77.06
-3.49,7.48
2.26,10.55
-5.26,19.41
-0.57,-0.54
-0.02,0.34
-5.79,22.65
7.09,64.53
-4.41,11.85
1.52,6.83
-5.43,20.27
-5.28,18.78
-1.36,-0.28
9.18,104.01
-7.01,36.33
-0.01,0.39
9.91,119.73
4.41,28.29
5.71,44.63
1.36,6.79
-2.03,0.93
6.28,52.67
-0.47,-0.47
-3.31,4.54
-2.78,1.02
-4.85,13.96
-9.6,75.41
9.26,106.65
-6.02,23.91
-6.51,29.7
5.61,42.77
-0.25,1.74
4.73,33.59
-4.27,10.07
2.63,13.55
6.15,51.6
-3.25,4.18
6.98,62.72
-8.57,57.68
-3.66,7.69
-4.17,9.89
-4.58,14.25
-1.1,0.63
1.74,6.79
